ID_Camion,Fecha_Entrada_Taller,Kilometraje,Tipo_Servicio,Repuestos_Requeridos,Costo_Repuestos,Costo_Mano_Obra,Duracion_Taller_Dias,Taller_ID,Ciudad_Taller,Modelo_Camion,Año_Fabricacion,Presupuesto_Aprobado,Fecha_Salida_Taller,Cliente_ID,Frecuencia_Visitas_Taller,Tiempo_Espera_Dias,Tecnico_Asignado,Tipo_Repuesto_Mayor,Reclamos_Previos,Satisfaccion_Cliente
SCANIA-1000,2023-01-01,171958,Reparación,8,1123.64,3788.96,9,TLR002,Antofagasta,R500,2020,,2023-01-05,CLT-745,5,1,TEC-19,Frenos,3,2.0
SCANIA-1001,2023-01-02,721155,Diagnóstico,2,1852.78,3691.01,7,TLR003,,R500,2016,True,2023-01-06,CLT-824,5,0,TEC-12,Frenos,0,
SCANIA-1002,2023-01-03,181932,Mantenimiento,2,2625.82,4393.34,6,TLR002,Valparaíso,G410,2020,False,2023-01-07,CLT-626,8,2,TEC-11,Frenos,0,3.0
SCANIA-1003,2023-01-04,415838,Diagnóstico,3,1502.06,3641.64,12,TLR001,Valparaíso,G410,2020,True,2023-01-08,CLT-535,4,7,TEC-16,Eléctrico,4,4.0
SCANIA-1004,2023-01-05,309178,Reparación,3,2101.09,1236.02,5,TLR003,Santiago,G410,2017,False,2023-01-09,CLT-939,9,7,TEC-5,Frenos,3,4.0
SCANIA-1005,2023-01-06,694167,Reparación,1,2287.29,3557.26,3,TLR004,Valparaíso,G410,2018,False,2023-01-10,CLT-459,7,3,TEC-3,Frenos,1,3.0
SCANIA-1006,2023-01-07,160268,Mantenimiento,3,2818.26,1607.74,12,TLR001,Concepción,S730,2022,True,2023-01-11,CLT-228,7,5,TEC-12,Eléctrico,4,4.0
SCANIA-1007,2023-01-08,782180,Reparación,6,6045.25,1286.66,10,TLR004,Valparaíso,G410,2019,False,2023-01-12,CLT-963,3,8,TEC-15,Motor,0,3.0
SCANIA-1008,2023-01-09,104886,Mantenimiento,8,4660.92,457.72,10,TLR004,Santiago,P360,2017,False,2023-01-13,CLT-733,4,6,TEC-16,Frenos,1,2.0
SCANIA-1009,2023-01-10,187337,Reparación,6,7892.72,3745.74,4,TLR004,Concepción,S730,2015,False,2023-01-14,CLT-340,7,1,TEC-13,Frenos,1,3.0
SCANIA-1010,2023-01-11,571430,Reparación,5,3434.94,3583.9,3,TLR001,Concepción,S730,2015,False,2023-01-15,CLT-726,5,1,TEC-7,Frenos,0,3.0
SCANIA-1011,2023-01-12,137498,Mantenimiento,4,6080.15,,12,TLR001,Valparaíso,G410,2022,,2023-01-16,CLT-808,3,2,TEC-15,Transmisión,1,2.0
SCANIA-1012,2023-01-13,225203,Mantenimiento,3,6997.45,3771.96,11,TLR003,Antofagasta,R500,2017,True,2023-01-17,CLT-321,1,7,TEC-3,Eléctrico,3,5.0
SCANIA-1013,2023-01-14,241335,Mantenimiento,4,5496.03,4597.42,8,TLR004,Concepción,G410,2016,False,2023-01-18,CLT-313,7,9,TEC-12,Frenos,3,2.0
SCANIA-1014,2023-01-15,328167,Reparación,7,3412.54,,3,TLR002,,R500,2022,False,2023-01-19,CLT-691,6,8,TEC-8,Transmisión,4,3.0
SCANIA-1015,2023-01-16,91090,Reparación,1,6078.04,1239.92,7,TLR003,Antofagasta,G410,2017,True,2023-01-20,CLT-874,7,2,TEC-12,Motor,4,2.0
SCANIA-1016,2023-01-17,379365,Diagnóstico,7,1788.6,3776.28,7,TLR001,Antofagasta,G410,2017,True,2023-01-21,CLT-234,2,8,TEC-18,Motor,1,3.0
SCANIA-1017,2023-01-18,114820,Mantenimiento,1,2754.91,1445.08,7,TLR002,Concepción,R500,2018,False,2023-01-22,CLT-917,4,9,TEC-3,Transmisión,0,3.0
SCANIA-1018,2023-01-19,837201,Reparación,2,4464.14,3160.85,13,TLR001,,R500,2022,True,2023-01-23,CLT-853,2,7,TEC-12,Motor,3,3.0
